route,point,territory,house,route_id
117,Bhairab,Bhairab,"J R Corporation Limited, Bhairab",790
117,Kishoreganj (SYL),Kishoreganj,M. Islam Trade Co. Ltd.,791
117,Narsingdi-1,Narsingdi 1,"J R Corporation Limited, Narsingdi",792
117,Sunamganj,Sunamganj,Moula Baksh Karim Boksh,793
117,Akhalia,Sylhet Metro 2,Moula Baksh Karim Boksh Ltd.,794
117,Jashore Sadar,Jashore-1,M/S Azizur Rahman,795
117,Satkhira Sadar,Satkhira,M/S Sheikh Brothers,796
117,Chuadanga,Chuadanga,Desh Trade Link,797
117,Jhenaidah,Jhenaidah,Sanaullah Traders,798
117,Kushtia,Kushtia,Joarder Traders,799
117,Barishal,Barishal-1,M/S BARISHAL J AHMED & CO.,800
117,Bhola,Bhola,A. Rahman & Sons,801
117,Faridpur (KHU),Faridpur,AKHTER ENTERPRISE,802
117,Gopalganj,Madaripur,Kazi Sayed Ali,803
117,Madaripur,Madaripur,M/S Tarik Ahmed Dipu (Madaripur),804
117,Rajbari,Rajbari,M/S Tarik Ahmed Dipu (Rajbari),805
117,Tarash,Bogura-2,Mr Brothers,806
117,Gaibandha,Gaibandha,M/S. Spectrum Trading Corporation,807
117,Thakurgaon,Thakurgaon,Moulovi Brothers,808
118,Kotwali,Kotwali (DHK),Alam Corporation Ltd.,809
118,Dhanmondi,Dhanmondi,The Jamal & Co - Dhanmondi,810
118,DEPZ,DEPZ,"Agrani Trading Company Ltd, Savar",811
118,Tangail,Tangail,"Agrani Trading Company Ltd, Tangail",812
118,Mazar Chowrasta,Uttara,Azahar Trading Ltd.,813
118,Joydebpur,Joydebpur,M/S. A.M.I & Company,814
118,Hathazari,Rangamati,Zawad Enterprise,815
118,Companiganj (CU),Cumilla-1,M/S Rupali Traders,816
118,Shaharasti,Cumilla-2,"M/S. Abdul Latif Chowdhury, Chandpur",817
118,Laxmipur,Laxmipur,M/S Sanjib Mazumder,818
118,B. Baria,B. Baria,ADL B.BARIA,819
118,Mymensingh,Mymensingh 1,Noor Sons,820
118,Netrokona,Netrokona,Shashi Mohan Roy,821
118,Sherpur (SYL),Sherpur,Amin Distribution Company Ltd.,822
118,Bhairab,Bhairab,"J R Corporation Limited, Bhairab",823
118,Kishoreganj (SYL),Kishoreganj,M. Islam Trade Co. Ltd.,824
118,Narsingdi-1,Narsingdi 1,"J R Corporation Limited, Narsingdi",825
118,Sunamganj,Sunamganj,Moula Baksh Karim Boksh,826
118,Akhalia,Sylhet Metro 2,Moula Baksh Karim Boksh Ltd.,827
118,Jashore Sadar,Jashore-1,M/S Azizur Rahman,828
118,Satkhira Sadar,Satkhira,M/S Sheikh Brothers,829
118,Chuadanga,Chuadanga,Desh Trade Link,830
118,Jhenaidah,Jhenaidah,Sanaullah Traders,831
118,Kushtia,Kushtia,Joarder Traders,832
118,Barishal,Barishal-1,M/S BARISHAL J AHMED & CO.,833
118,Bhola,Bhola,A. Rahman & Sons,834
118,Faridpur (KHU),Faridpur,AKHTER ENTERPRISE,835
118,Gopalganj,Madaripur,Kazi Sayed Ali,836
118,Madaripur,Madaripur,M/S Tarik Ahmed Dipu (Madaripur),837
118,Rajbari,Rajbari,M/S Tarik Ahmed Dipu (Rajbari),838
118,Tarash,Bogura-2,Mr Brothers,839
118,Gaibandha,Gaibandha,M/S. Spectrum Trading Corporation,840
118,Thakurgaon,Thakurgaon,Moulovi Brothers,841
119,Kotwali,Kotwali (DHK),Alam Corporation Ltd.,842
119,Dhanmondi,Dhanmondi,The Jamal & Co - Dhanmondi,843
119,DEPZ,DEPZ,"Agrani Trading Company Ltd, Savar",844
119,Tangail,Tangail,"Agrani Trading Company Ltd, Tangail",845
119,Mazar Chowrasta,Uttara,Azahar Trading Ltd.,846
119,Joydebpur,Joydebpur,M/S. A.M.I & Company,847
119,Hathazari,Rangamati,Zawad Enterprise,848
119,Companiganj (CU),Cumilla-1,M/S Rupali Traders,849
119,Shaharasti,Cumilla-2,"M/S. Abdul Latif Chowdhury, Chandpur",850
119,Laxmipur,Laxmipur,M/S Sanjib Mazumder,851
119,B. Baria,B. Baria,ADL B.BARIA,852
119,Mymensingh,Mymensingh 1,Noor Sons,853
119,Netrokona,Netrokona,Shashi Mohan Roy,854
119,Sherpur (SYL),Sherpur,Amin Distribution Company Ltd.,855
